Date,Time,Mockes Dam Level,MockesDamLevelpercent,RecommendedMaselspoortSupply,Maselspoort24hSupply,DATETIME,MockesFSC
00:00.0,1899-12-31 08:00:00.000,,,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,45,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,36,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,41,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,27,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,20,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,32,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,39,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,40,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,40,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,40,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.003,1,110,42,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.012,0.99,110,20,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.007,1,110,6,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.003,1,110,37,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.012,0.99,110,34,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.012,0.99,110,41,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.003,1,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,39,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,27,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.003,1,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.012,0.99,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.016,0.99,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.012,0.99,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.012,0.99,110,2,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.016,0.99,110,19,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.007,1,110,31,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.016,0.99,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.007,1,110,42,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.021,0.99,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.012,0.99,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.026,0.98,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.003,1,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.003,1,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.021,0.99,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.016,0.99,110,35,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.003,1,110,30,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.021,0.99,110,1,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.007,1,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.016,0.99,110,45,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.162,0.99,110,45,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.021,0.99,110,32,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.012,0.99,110,18,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.012,0.99,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.016,0.99,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.016,0.99,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.026,0.98,110,1,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.012,0.99,110,41,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.016,0.99,110,42,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.026,0.98,110,27,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.012,0.99,110,13,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.039,0.98,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.007,1,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.03,0.98,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,41,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,41,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,29,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,16,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,23,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.003,1,110,38,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.044,0.97,110,41,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.016,0.99,110,41,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.039,0.97,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.012,0.99,110,42,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.016,0.99,110,0,00:00.0,100
