Date,Min,Max,90% percentile,10% percentile,75% percentile,25% percentile,Median,Average,
20-Sep,0,9.212,0.4948,0,0.368,0,0.047,0.325428571,NO DATA
21-Sep,0,10.838,0.4898,0,0.2945,0,0.036,0.390809524,NO DATA
22-Sep,0,10.881,0.4896,0,0.276,0,0.05,0.363142857,NO DATA
23-Sep,0,9.581,0.4986,0,0.282,0,0.061,0.317587302,NO DATA
24-Sep,0,1.069,0.4368,0,0.256,0,0.032,0.165952381,NO DATA
25-Sep,0,11.607,0.5228,0,0.31,0,0.058,0.369063492,0.2295
26-Sep,0,11.564,0.5322,0,0.318,0,0.044,0.543920635,0.249583333
27-Sep,0,4.635,0.6864,0,0.368,0,0.048,0.349793651,0.299916667
28-Sep,0,11.452,1.119,0,0.368,0,0.12,0.833730159,0.26825
29-Sep,0,10.782,0.755,0,0.368,0,0.123,0.893269841,0.257833333
30-Sep,0,9.478,0.6915,0,0.351,0,0.1225,0.721709677,0.258666667
1-Oct,0,10.672,0.668,0,0.359,0,0.116,0.584951613,0.2695
2-Oct,0,7.616,0.6401,0,0.30325,0,0.079,0.342241935,0.303833333
3-Oct,0,37.585,0.5561,0,0.2715,0,0.078,0.782919355,0.2365
4-Oct,0,7.659,0.5389,0,0.2685,0,0.072,0.316225806,0.2495
5-Oct,0,5.331,0.6923,0,0.3455,0,0.118,0.376096774,0.228333333
6-Oct,0,2.241,0.6284,0,0.36675,0,0.1115,0.251629032,0.229
7-Oct,0,9.138,0.6999,0,0.368,0,0.1535,0.536241935,0.240583333
8-Oct,0,10.893,0.6875,0,0.368,0,0.102,0.633774194,0.258
9-Oct,0,10.784,0.4993,0,0.36475,0,0.105,0.409451613,0.27975
10-Oct,0,8.022,0.6876,0,0.29725,0,0.1135,0.359677419,0.297583333
11-Oct,0,13.008,0.6602,0,0.295,0,0.11,0.614451613,0.302916667
12-Oct,0,24.41,0.6957,0,0.25625,0,0.0975,0.821758065,0.279
13-Oct,0,10.993,0.7175,0,0.293,0,0.0925,0.545241935,0.26075
14-Oct,0,11.343,1.813,0,0.56325,0,0.1085,0.802241935,0.222
15-Oct,0,11.61,1.7555,0,0.5265,0,0.109,0.934548387,0.198333333
16-Oct,0,11.467,1.9342,0,0.53075,0,0.131,0.956241935,0.191
17-Oct,0,16.671,1.2894,0,0.492,0,0.1705,0.941322581,0.2035
18-Oct,0,11.449,1.288,0,0.49725,0,0.2045,0.88216129,0.22025
19-Oct,0,12.052,1.1108,0,0.38475,0,0.175,0.835532258,0.190666667
20-Oct,0,11.851,1.6661,0,0.38525,0,0.137,1.084645161,0.209916667
21-Oct,0,48.294,0.9057,0,0.436,0,0.1675,1.453241935,0.22147541
22-Oct,0,46.13,1.932,0,0.406,0,0.135,1.416114754,
23-Oct,0,10.564,2.7383,0,0.368,0,0.154,0.907983871,
24-Oct,0,11.275,2.5166,0,0.33625,0,0.1385,1.081935484,
25-Oct,0,13.085,1.9027,0,0.35525,0,0.145,0.718516129,
26-Oct,0,8.045,1.289,0,0.2755,0,0.127,0.519967742,
27-Oct,0,5.342,0.9678,0,0.36125,0,0.132,0.436629032,
28-Oct,0,10.086,1.4171,0,0.3215,0,0.1025,0.479177419,
29-Oct,0,8.018,1.0284,0,0.291,0,0.0985,0.432129032,
30-Oct,0,6.208,0.6383,0,0.274,0,0.1265,0.336145161,
31-Oct,0,10.561,0.6166,0,0.28875,0,0.124,0.375193548,
1-Nov,0,12.11,1.0189,0,0.28925,0,0.0965,0.594967742,
2-Nov,0,32.965,1.2733,0,0.35075,0,0.116,1.181596774,
3-Nov,0,38.03,2.6566,0,0.359,0,0.108,1.446354839,
4-Nov,0,10.06,1.3831,0,0.40475,0,0.1315,0.860064516,
5-Nov,0,10.754,1.986,0,0.657,0,0.13,0.868868852,
6-Nov,0,10.616,1.587,0,0.368,0,0.101,0.620131148,
7-Nov,0,13.085,2.037,0,0.368,0,0.103,0.859459016,
8-Nov,0,10.015,1.945,0,0.391,0,0.151,0.885491803,
9-Nov,0,13.329,9.423,0,0.536,0,0.171,1.610819672,
10-Nov,0,29.891,7.0933,0,0.65025,0,0.1485,1.88725,
11-Nov,0,13.938,9.082,0,0.731,0.021,0.18,1.788459016,
12-Nov,0,12.033,4.229,0,0.538,0.022,0.185,1.149147541,
13-Nov,0,29.735,4.229,0,0.68,0.021,0.229,1.734459016,
14-Nov,0,17.659,3.903,0,0.699,0.028,0.19,1.308639344,
15-Nov,0,12.608,3.804,0,0.486,0.031,0.182,1.117229508,
16-Nov,0,9.695,3.206,0,0.373,0.006,0.158,0.927721311,
17-Nov,0,10.645,3.632,0,0.462,0.021,0.13,1.061196721,
18-Nov,0,13.085,5.178,0,0.555,0,0.13,1.447213115,
19-Nov,0,16.944,9.045,0,0.706,0,0.15,1.919377049,
20-Nov,0,10.516,5.425,0,0.718,0,0.197,1.431180328,
21-Nov,0,10.587,2.1453,0,0.86375,0,0.243,1.001966667,
22-Nov,0,13.085,1.7195,0,0.59075,0.00075,0.175,0.903966667,
23-Nov,0,12.996,1.4749,0,0.37225,0.00175,0.141,0.689466667,
24-Nov,0,13.085,1.9344,0,0.3765,0,0.1305,0.910066667,
25-Nov,0,10.152,1.3616,0,0.3285,0,0.1115,0.76765,
26-Nov,0,10.535,1.5003,0,0.3225,0,0.1215,0.791766667,
27-Nov,0,12.97,1.6047,0,0.36975,0,0.12,0.759016667,
28-Nov,0,23.462,1.2479,0,0.3725,0,0.1375,1.25425,
29-Nov,0,11.375,1.3263,0,0.368,0,0.1235,0.778916667,
30-Nov,0,29.529,1.2819,0,0.2925,0,0.0975,1.042466667,
1-Dec,0,28.039,0.791,0,0.341,0,0.066,1.128639344,
2-Dec,0,14.798,1.138,0,0.329,0,0.059,0.594688525,
3-Dec,0,9.37,1.2241,0,0.3735,0,0.0855,0.502216667,
4-Dec,0,8.508,1.44,0,0.369,0,0.105,0.642213115,
5-Dec,0,15.613,1.586,0,0.331,0,0.095,0.990540984,
6-Dec,0,13.085,0.941,0,0.298,0,0.077,0.976901639,
7-Dec,0,12.396,3.499,0,0.33,0,0.088,1.118295082,
8-Dec,0,6.658,4.152,0,0.45,0,0.123,0.913934426,
9-Dec,0,13.057,2.482,0,0.651,0,0.13,1.129393443,
10-Dec,0,15.651,4.441,0,0.456,0,0.13,1.483114754,
11-Dec,0,17.014,7.497,0,0.572,0,0.13,1.750704918,
12-Dec,0,16.779,2.8816,0,0.59375,0,0.1215,1.383145161,
13-Dec,0,12.005,3.1992,0,0.63725,0,0.1465,1.240435484,
14-Dec,0,37.399,5.2668,0,0.46825,0,0.131,1.688451613,
15-Dec,0,33.528,2.2358,0,0.726,0,0.175,1.299047619,
16-Dec,0,20.277,1.6772,0,0.4555,0,0.14,1.378571429,
17-Dec,0,12.901,1.168,0,0.3125,0,0.106,1.030015873,
18-Dec,0,30.208,6.374,0,0.514,0,0.114,1.47268254,
19-Dec,0,31.757,1.977,0,0.3695,0,0.091,1.293571429,
20-Dec,0,12.511,2.8768,0,0.3445,0,0.075,0.828571429,
21-Dec,0,16.703,1.9962,0,0.376,0,0.13,0.975031746,
22-Dec,0,13.085,2.8342,0,0.357,0,0.108,0.84784127,
23-Dec,0,11.399,2.3641,0,0.439,0,0.1255,1.044870968,
24-Dec,0,11.099,2.492,0,0.885,0,0.109,0.94783871,
25-Dec,0,24.419,5.151,0,0.6505,0,0.13,1.527253968,
26-Dec,0,11.761,6.9208,0,0.6855,0,0.165,1.424777778,
27-Dec,0,12.969,2.2416,0,0.7245,0,0.144,0.98031746,
28-Dec,0,10.768,1.5942,0,0.4375,0,0.116,0.705761905,
29-Dec,0,10.372,1.8598,0,0.6075,0,0.13,0.799571429,
30-Dec,0,10.358,1.194,0,0.475,0,0.13,0.535015873,
31-Dec,0,9.044,1.2694,0,0.378,0,0.123,0.532063492,
